"","Title","Notes","positive","negative","score","topic"
"767","Big Data in Education","Video 1 chapter 7 Clustering: a type of structure discovery algorithm1. you have a large number of data points2. you want to find what structure there is among the data points3. you do not know anything a priori about the structure4. clustering tries to find data points that""group together"" k-means steps:how many clustering we want:orange, green, red, purple, black(different color point)centroids: usually chosen randomlyclassify every point re-fit the centroids as the center of the points in the each clusterconvergencesome outliers are exist Video 2 chapter 7 clustering: validation and selection of k distortion: mean squared deviation, can not choose size of k1. take each point p2. find the centroidof P's cluster C3. find the distance D from C to P4. square D to get D'5. sum all D' to get distortionDistance: euclidean  distance can be computed an arbitrary number of dimension information criterion:1. assess how much fit would be expected from a random N centroids2. assess how much fit you actually had3. find the difference how many clusters:1. try several values of k2. find “best-fitting” set of clusters for each value of k3. choose k with best value of BIC/AIC Video 6 chapter 7 Q-matrix: a table where rows are items and columns are skills. It is also called knowledge component (KC) model or skill-item mapping.Every item must include at least one skill. How do we get a skill-item mappting:1. automatic model discovery: learn the mapping between items and skills solely from data.Barnes et al.'s: better model property: 1. given a skill-item mapping, you can predict for each combination of skills whether a student should get each item correct or not. 2. fit a model like PFA or BKT, and see how well it fits data, given the skill-item mapping. 2. hand-development and refinement: original way that Q-matrices were created actually. strategies for Q-matrix refinement: 1). try to smooth learning curves(shows relationship between amount of practice and performance) 2). look for skills with no apparent learning 3). look for problems with unexpected error rates:DataShop3. hybrid approaches Video 1 Chapter 1 joint goal of exploring and promotetypes of EDM/LA method: 1. prediction: develop a model infer a single aspect data 2. structure discovery: find structure and patterns in the data, no specific target 3. relationship mining: find relationship between variables in a data set with many variables 4. distillation of data for human judgement 5. discovery with models why data mining did not start more earlier: no enough data and hard to scale Video 3 Chapter 1 classification: the thing you want to predict is categorical, to determine which features in which combination can predict the label. labels come from: in-software performance/school records/test data/survey data/field observation or video coding/text replays.step regression: fit linear regression function, all value below 0.5 are treated as 0 and all value &gt;=0.5 are treated as 1. logistic regression: fits logistic function to data to find out the frequency, closer to 1. decision trees Video 4 Chapter 1 decision rule: sets of if-then rules which you check in orderK*: predicts a data point from neighboring data points, good when data is very divergent. advantage is works when nothing else works. Drawback is need to have the whole data set. Bagged Stumps: related to decision trees, relatively conservative.support vector machine/genetic algorithms/neural networks(complicated model) good for some problem but not for most type of educational data. Video 2 Chapter 2 Diagnostic matrics: different methods, different matrics. accuracy: easiest measures of model goodness, # of agreements/total number of codes/assessments. Kappa: (agreement-expected agreement)/(1-expected agreement)Kappa = 0, agreement is at chanceKappa = 1, agreement is perfectKappa = -1, agreement is perfectly inverseKappa &gt;1, you messed up somewhereKappa &lt;0, model is worse than chance, very rare unless using cross-validation.0&lt;Kappa &lt;1, typically 0.3-0.5 is good.Kappa is scaled by the proportion of each category, so there is no standard. Video 3 Chapter 2 ROC: receiver-operating characteristic curve, predicting something which has two values. outputs a probability or real value. Four possibilities: true positive/false positive/true negative/ false negativeX axis = percent false positivesY axis = percent true positivesA‘ closely approximates the area under the ROC curve, called AUC. A' only work for two categories. it's always higher than Kappa values. precision = TP/(TP+FP); the probability that a data point classified as true is actually true.recall = tp/(tp+fn); the probability that a data point that is actually true is classifies as true.  Video 4 Chapter 2 metrics for regressors: linear correlation: Pearson's correlation. 1 is perfect, 0 none; -1 is perfectly negatively correlated. in between depends on the field. in physics correlation of 0.8 is weak. in education correlation of 0.3 is good. R^2 a measure of what percentage of variance in dependent measures. MAD/RMSE: mean absolute deviation/root mean squared error. MAS tells the average amount to which the predictions deviate from the actual values. RMSE penalizes large deviation more than small deviation. Lower MAD/RMSE and high correlation is good model. High MAD/RMSE and low correlation(model values are in the right range, but model does not capture relative change) is bad model. information criteria: 1. BIC value over 0 worse than expected given number of vairables. under 0, better than expected given number of variables. it's statistically equivalent to k-fold cross-validation for optimal k. 2. AIC an information critiera, make slightly different trade-off between goodness of fit and flexibility of fit. Equivalent to leave-out-one-cross-validation. Video 5 Chapter 2 cross-validation and over-fittingover-fitting: fitting to the noise as well as the signal. reducing over-fitting: fewer variable and less complex functions. No way to eliminating over-fitting.  groups: k-fold, pick a number K, split into this number of groups, quicker. Leave-out-one, every data point is a fold, more stable. Flat cross-validation: each point has equal chance of being placed into each fold. stratified cross-validation:biases fold selection so that some variable is equally represented in each fold. Student-level cross-validation: no student's data is represent in two folds.seen as minimum cross-validation. Video 1 Chapter 4 Bayersian knowledge tracing(BKT): classic approach for measuring tightly defined skill in online learning. goal is to measuring how well a student knows a specific skill/knowledge component at a specific time. Use: assess a student knowledge of skill. where each item corresponds to a single skill. Assumption: each item must involve a single latent skill, each skill has four parameter, able to compute latent knowledge P(Ln)/the probability P(CORR) that the learner will get the item correct. Two-state learning model. Classical BKT: two learning parameters:P(L0),P(T); two performance parameters: P(G), P(S).predicting current student correctness formularParameter constraints:to avoid model degeneracyconceptual idea behind knowledge tracing: by looking at whether a student's performance is correct, we can infer whether they know the skill. three public tools: 1. BNT-SM: Bayes Net Toolkit-Student Modeling 2. Fitting BKT at scale 3. BKT-BF:BKT-Brute Force(Grid Search)  ",43,21,22,1
"768","Cross Validation","cross validation higher order polynomial if the line does not good fit the all point.  test set is how the system id ultimately going to be used. The data being independent and identically distributed, the data all come from the same source.  we want to do use a model that is complex enough to fit the data without causing problem on the test set. pretend train data to test set.  For training data, split the data called folds then average all error together.",2,5,-3,5
"769","Hands-On Programming with R","Chapter 1 operation: + - * / stored data: die &lt;- 1:4 ## die 1 2 3 4 %*% inner multiplication  %o% outer multiplication Functions: 1. round(x, digits = #) 2. factorial() 3. mean() 4. sample(x, size, replace = TRUE / FALSE) #sample takes two arguments: a vector named x and a number named size. sample will return size elements from the vector. Replace = TRUE causes sample to sample with replacement. 5. sum() 6. roll() function constructor: function() {} Chapter 2 packages: install.packages(""ggplot2"") ## qplot makes ""quick plots"" library: library(""ggplot2"") replicate(10, roll())  ## 3 7 5 3 6 2 3 8 11 7  ### first replicate the number of times you wish to repeat and R command, and then give it the command you wish to repeat. Chapter 3 die &lt;- c(1,2,3,4,5,6) ## die 1 2 3 4 5 6 is. vector(die) ## TRUE  ### is. vector tests whether an object is an atomic vector. 1. length() 2. sqrt() 3. class() ##character/numeric 4. Sys.time() typeof() ##know what type of object you are working with, some R functions refer to doubles as ""numerics"". int &lt;- c(-1L, 2L. 4L) ## int -1 2 4 typeof(int)  ## ""integer"" logicals: 3&gt;4 ## FALSE dimensions attribute: dim(die) &lt;- c(2,3) ## die##          [,1]    [,2]    [,3] ## [1,]       1       3       5                          ###matrices## [2,]       2       4       6                          ### matrix(die, nrow =2) coercion: logical &lt; number &lt; characterTRUE = 1, FALSE = 0as. character(1) ##""1""as. logical(1) ## TRUEas. numeric(FALSE) ##0          ",2,9,-7,1
"770","Principal Component Analysis explained visually","PCA: principal component analysis is a technique used to emphasize variation and bring out strong pattern in a dataset. Find the 2 principal components. 2D example: PCA finds a new coordinate system in which every point has a new (x,y) value. 3D example: drop one dimension, project the data into 2D and it is more clear. Eating in the UK( a 17D example): try to eliminate dimension and project the data into 2D.  ",2,0,2,2
"771","Analyzing the Longitudinal K-12 Grading Histories of Entire Cohorts of Students: Grades, Data Driven Decision Making, Dropping out and Hierarchical Cluster Analysis","In this article, hierarchical cluster analysis heatmap was utilized to cluster k-12 students by clustering the variables of cumulative grades from different levels. The authors tried to correlated clusters with categorical variables such as dropout, ACT taking status, gender, and district.",0,1,-1,3
"772","Understanding Classrooms through Social Network Analysis: A Primer for Social Network Analysis in Education Research","This article introduces the social network analysis about its concepts, data collection, processing and methods. By providing the case, authors illustrated the process of social network analysis. By comparing two sociographs, it shows the obvious differences in terms of density and transitivity.",0,0,0,4
"773","Why Students Should Own Their Educational Data","In this article, the author state his view toward learning style that student should own their educational data. He believes that it will promote the quality of learning for students. Although the personalized data will improve the learning quality, the result depends on the size of class and number of teachers.",0,0,0,2
"774","Knowledge tracing: Modeling the acquisition of procedural knowledge","In this article, a Bayesian Cognitive Model in APT tutoring system is introduced, that allows tutor to interact with student during the learning process, and to judge the learning quality and progress of the students. As presented in this article, the system has high internal and external validity.",1,0,1,3
"775","Learning Analytics and Educational Data Mining: Towards Communication and Collaboration","This article summarized the differences and similarities between educational data mining and learning analytics. The authors' point is that researchers should learn from each other and improve their research in all areas.",0,0,0,2
"776","Evaluating Machine Learning Models","The article introduces the diagnostic measures of three types algorithms in data mining, including classification, ranking and regression. The authors point out that each type has advantages and disadvantages, and they suggests to select the type by the appropriate purpose.",0,2,-2,5
"777","Why Is Measuring Learning So Difficult?","In this video, they point out that although measuring learning is difficult, it is still possible to measure learning well, such as social structure. Finding a trustworthy measuring indicator is very important for measuring process. By longitudinal models, students' learning progression of educational outcomes is possible to be measured.",2,1,1,4
"778","Saturday Morning Breakfast Cereal","The comic implies the phenomenon that the current education is focusing more on the outcome other than the process and education itself. It is still doubtful whether education outcome, such as grade, is more important that the progress of learning ability.  ",1,1,0,2
"779","The Data Wrangling Cheatsheet","It is a very helpful cheatsheet for dealing with data processing, by providing lots of code directions.",0,0,0,1
"780","Data wranglers: human interpreters to help close the feedback loop","This article emphasized the point that data wranglers are very helpful to interpret educational data. I believe that data wranglers are very important on interpreting the educational data when educators make the educational policies.",0,0,0,2
"781","Zuckerberg is ploughing billions into 'personalised learning' – why?","In this article, the authors introduces Zuckerbergs's plan on personalized learning, discussing the current situation and the dangers of personalised learning. They doubt the potential of personalised learning's development due to current conditions. First, it is hard to make sure whether personalised learning is truly personalized. Second, the high cost of personalized process is not really helpful for developing the quality of education for all individuals.   ",1,3,-2,2
"782","Feature Selection","This video introduces the reasons of feature selection, including interpretation and insight, and curse of dimensionality.",0,0,0,5
"783","RStudio Cheat Sheets","It is a very helpful cheatsheet for R users. It provides lots of commands and formats about Rmarkdown, assisting users to produce better text format.",1,0,1,1
"784","Translating Learning into Numbers: A Generic Framework for Learning Analytics","This articles provides the generic framework to learn analytics. This framework contains with 6 dimensions, etc, data, stakeholders.... The authors pointed out that the framework is not intended to be perfect and applicatble to every scenario in education, but that education practitioners may revise this framkework and make it useful to heir specific purposes.",1,0,1,2
"785","Teaching Recommender Systems at Large Scale: Evaluation and Lessons Learned from a Hybrid MOOC","In this article, the authors introduces the study on a MOOC course on recommendation system, and they explore the reasons why students register by PCA analysis that the result of eigenvalues is over 1. Moreover, the authors attempt may regression analysis in order to find the variable which predicts the outcome significantly, such as grades and retention. They compared face to face students and online students with the former studies, and they state that the small former group size may lead to an unconvincing result.",2,1,1,4
"786","Machine Beats Experts: Automatic Discovery of Skill Models for Data-Driven Online Course Refinement","In this article, the authors introduce a way to automatically find out the Q matrix of item-skill correspondence, by AFM or BKT method. The authors point out that the new methods are more complex that the popular method- LFA method.",1,1,0,5
"787","Chapter 1: Social Network Data","This article introduces the concepts of social network analysis, by emphasizing the difference between conventional inferential statistics and descriptive statistics of SNA.  ",0,0,0,4
"788","Learning Analytics Dashboards","This article introduces the process of data visualization in education from the start stage to the end. By showing the case, it clearly emphasizes the identical key for each stage.",1,0,1,2
"789","Measurement and its Uses in Learning Analytics","In this article, the authors provide the introduction about psychometrics, such as CTT, IRT, CFA and other models in measurement. The concepts of psychoetrics have been justified for learning analytics. Since measurement is a prerequisite for researchers in empirical study, it is important to have the basic idea about how to operationalize the concepts at first.",0,0,0,5
"790","Predictive Modelling in Teaching and Learning","The article introduces the predictive modeling in education, including data collection, feature engineering, common algorithms, diagnostic measures of model evaluation. Moreover, the tips to deal with missing data are very helpful.  ",1,1,0,5
"791","Ethics and Learning Analytics: Charting the (Un)Charted","This article introduces the ethic principles for newly emerged field of learning analytic, from the introduction of history to the instruction and conferences.  ",0,0,0,2
"792","Going Beyond Better Data Prediction to Create Explanatory Models of Educational Data","In this article, the authors developed explanatory models efforts of educational data mining that prevalent with predictive modeling attempts, and their focus is on the cognitive model discovery. They mention three models including DFA, LFA and SimStuden, and they find that the automated cognitive models have better fits. Moreover, they state their understanding on what variables should be included and why these are helpful.",2,0,2,5
"793","Statistical graphics: making information clear – and beautiful","In this article, a bad graph has been improved and represented by R as a sample, in order to illustrating the purpose of graph, revision guidelines and multiple graphs guidelines.",0,1,-1,2
"794","How to display data badly","This article introduces many bad quality graphs in order to help readers to avoid the mistakes when they draw their graphs. The authors present few principles including data density index, perceptual distortion and data-ink ration.",0,2,-2,2
"795","Infovis and Statistical Graphics: Different Goals, Different Looks (with discussion)","This article introduces the data visualization, by specifying the data graph such as scatterplots and bar. The authors point out that making comparison by presenting information from graph to discover the pattern from data.",0,0,0,2
"796","Junkcharts Trifecta Checkup: The Definitive Guide","In this article, the author introduces few kinds of poor quality graphics by differing combinations of questions, data and visualization. The examples are clear and illustrative. The graphics shows the problems that it is hard to figure out what the questions are, why the data is improper and the visualization is weak.",1,4,-3,2
"797","Measurement and its Uses in Learning Analytics","Leaning analytics tools express the commitment to specific educational views for specific learners.",1,0,1,2
"798","Ethics and Learning Analytics: Charting the (Un)Charted","It focuses on the ethics in learning analytics. Ethics has been a crucial factor in learning analytics. We should respect and cited properly for previous people's work.",3,0,3,2
"799","Predictive Modelling in Teaching and Learning","Predictive analytics is a group of techniques used to make inferences about uncertain future events. Predictive modeling is to create a model that will predict the value of new data on new observations. Predictive analytics is a group of techiques used to make inferences about uncertain future events. Predictive modeling is to create a model that will predict the value of new data on new observations. The data demonstrated in the paper is about the achievement level of students.",0,2,-2,3
"800","Going Beyond Better Data Prediction to Create Explanatory Models of Educational Data","There are two types of model, one is the statistical model, the other one is cognitive model. Statistical models drive the outer loop of intelligent tutoring systems based on observable features of students' performance as they learn. Cognitive models are representations of the knowledge space (facts, concepts, skills, et cetera) underlying a particular educational domain. In cognitive models, it is hard to apply the same model to another new dataset.",0,1,-1,5
"801","Statistical graphics: making information clear – and beautiful","Not list on syllabus",0,0,0,1
"802","Infovis and Statistical Graphics: Different Goals, Different Looks (with discussion)","It tells the difference between infovis and statistical graphics. It discusses different types of visualization. And the best graph is the one with the most attracting and engaging since it was what people are looking for.",1,0,1,2
"803","Junkcharts Trifecta Checkup: The Definitive Guide","A guide helps us to check whether our graphs are a chartjunk. It includes many examples with details, so it is very easy for readers to follow and examine their own graphs.",0,0,0,2
"804","Analyzing the Longitudinal K-12 Grading Histories of Entire Cohorts of Students: Grades, Data Driven Decision Making, Dropping out and Hierarchical Cluster Analysis","It collects historical data from students to analyze, and use visualization to see the result.",0,0,0,3
"805","Understanding Classrooms through Social Network Analysis: A Primer for Social Network Analysis in Education Research","A network is a better way to see the relationship between students and their class since it has visualization. A network works well in a community as it contains many relationships. ",3,0,3,4
"806","Why Students Should Own Their Educational Data","Everyone absorbs knowledge differently, so it's good to create different educational data for different students.",1,0,1,2
"807","Knowledge tracing: Modeling the acquisition of procedural knowledge","Monitoring students' knowledge condition while they are studying for the result of practice exercise. The director changes the teaching method according to each student's progress until everyone understands every idea. Knowledge tracing is effective and need to improvement.",2,0,2,3
"808","Learning Analytics and Educational Data Mining: Towards Communication and Collaboration","In the past, research about learning analytics used quantitative methods, but we should incorporate more data mining methods to supplement our needs.",0,0,0,3
"809","Evaluating Machine Learning Models","It provides details about machine learning models that we can apply to our data and our assignment, such as accuracy is the correct predictions over the total number of data points.",1,0,1,5
"810","Why Opting Out of Student Data Collection Isn’t the Solution","Not list on syllabus",0,0,0,1
"811","Why Is Measuring Learning So Difficult?","Learning is differnt for differnt people, so we have many dimensions to measure and we need to simply the data. What people learned is depend on  what people define independent mean.; Not list on syllabus",0,0,0,1
"812","Saturday Morning Breakfast Cereal","Children will learn from interest, forced learning is not working.",0,0,0,2
"813","Data wranglers: human interpreters to help close the feedback loop","Different data have different dimensions of data, so data wrangling can organize data effectively. The paper provides some examples for data wrangling.",1,0,1,1
"814","Zuckerberg is ploughing billions into 'personalised learning' – why?","Personalized data is a good try since different people have different understandings and knowledge levels. However, there are dangers of personalized learning. We will get many experts and a few generalists. Learners will lose their ability of compensation. Students, teachers, and parents will lose social contact with each other.  Data is easy to misuse.",1,4,-3,2
"815","Feature Selection","Feature selection:1. Knowledge discovery- interpretability <U+2260> insight2. Curse of dimensionality.",0,0,0,5
"816","Chapter 1: Social Network Data","Difference between social network data and conventional data. Conventional contains a rectangular measurement, whereas networks contain a square way of measurement.",0,0,0,4
"817","RStudio Cheat Sheets","It is very useful for me to be familiar with the Rmarkdown cheatsheet and I can use it when I forget something about Rmarkdown. It contains many details.",0,0,0,1
"818","Predicting college enrollment from student interaction with an intelligent tutoring system in middle school","Not list on syllabus",0,0,0,1
"819","Translating Learning into Numbers: A Generic Framework for Learning Analytics","It describes the requirement behind learning analytics and the consequences for learning analytics. Visualized data with numbers allow teachers to demonstrate their results more easily.",0,0,0,2
"820","The Big Five and Visualisations of Team Work Activity","Not list on syllabus",0,0,0,1
"821","Teaching Recommender Systems at Large Scale: Evaluation and Lessons Learned from a Hybrid MOOC","Trails from MOOC with theory overview.",0,0,0,4
"822","A Matrix Factorization Method for Mapping Items to Skills and for Enhancing Expert-Based Q-Matrices","test test",0,0,0,5
"823","Machine Beats Experts: Automatic Discovery of Skill Models for Data-Driven Online Course Refinement","It describes a model the author's team found for the skills and knowledge from an online course data.",1,0,1,5
"824","Using data mining to predict secondary school student performance","Not list on syllabus",0,0,0,1
"825","Developing a generalizable detector of when students game the system","Not list on syllabus",0,0,0,1
"826","Big Data in Education","It talks about clustering. First, decide the numbers of groups we wanted. Then, pick the center for each group and fix it to the nearest point within the group. Redo it until there is no more change.",0,0,0,1
"827","Cross Validation","Find how to predict values and testing them. Cross validation is which we set a line, if it doesn't fit, then we draw a higher order polynomial. And we use a model that is complex enough to fit the data without causing problems on the test set.",1,2,-1,5
"828","Hands-On Programming with R","R is a dynamic programming language, so we don't need to compile the code after we write it. You save R code to the R script. R has many useful packages that can save our time to implement.",0,0,0,1
"829","Principal Component Analysis explained visually","It provides 2D, 3D and ND examples for principal component analysis.",0,0,0,2
"830","Infovis and Statistical Grpahics: Different Goals, Different Looks","The field of statistical graphics has been neglected. it's time to pay attention! Journals in graphical stats are currently about 80% stats, 20% graphics. But data graphics are very popular these days - we get to do a better job of being more mindful of the graphics we create. Graphics helps with tasks like data cleaning and exploration (so far) - then we get to inference. Lack interaction between the worlds of statistical graphics and information visualization is an issue. The statistical approach concentrates on what can be got out of the available data and the Infovis approach uses the data to draw attention to wider issues. Both are valuable and perhaps a combination of the two would serve best. Goals of visual display of quantative information: 1. Graphics are for the qualitative/descriptive 2. Graphics are for comparison—comparison of one kind or another 3. Graphics are for impact—interocular impact if possible, swinging-finger impact if that is the best one can do, or impact for the unexpected as a minimum 4. Graphics should report the results of careful data analysis—rather than be an attempt to replace it. (Exploration—to guide data analysis—can make essential interim use of graphics, but unless we are describing the exploration process rather than its results, the final graphic should build on the data analysis rather than the reverse.)",6,4,2,2
"831","How to Display Data Badly","Good data:  shows data accurately shows data clearly  Rules on showing data badly: (All of these below are ways to screw up your graph :)) Rule#...  Show as few data as possible (minimize the data density) Hide your data you do show (minimize the data-ink ratio) Ignore the visual metaphor altogether Only order matters Graph data out of context Change scales in mid-axis Emphasize the trivial (ignore the important) Jiggle the baseline Austria first Label (a) illegibly, (b) incompletely, (c) incorrectly, and (d) ambiguously More is Murker: (a) More Decimal Places and b) More Dimensions If it has been done well in the past, think of another way to do it. ",4,3,1,3
"832","Statistical graphics: making information clear - and beautiful","A well designed graph - how do we do this? When constructing beautiful graphs, there are a few things to keep in mind. Every decision needs to be made consciously and with intent. Two key decisions are:  Who is your target audience? What are you trying to show?  Guiding principals:  Avoid distracting elements. Use informative color to visually associate elements. Keep the <U+FB01>gure simple (and therefore interpretable).  In order to use small multiple plots, use the following guiding principals:  Keep the x- and y-axes on the same scale.  Eliminate repetitive information. Maintain consistency across plots. ",1,1,0,2
"833","HLA: Chapter 12 Learning Analytics Dashboards","What should a dashboard do? Address the following: 1. What kind of data can visualized? 2. For whom are the visualizations intended? Audience?? 3. Why: What's the goal of the visual? 4. How can the data be visualized? Which interaction techniques can be applied? What tools, libraries, data formats etc. can be used for technical implementation? What workflow can be developed?   Data mining = computer number crunching - Tesla Visualization = human perceptual abilities - Honda Information visualization Specific emphasis on building models and visualizing these models - relies on humans to find trends, gaps, outliers, clusters etc. The human visual system is very powerful. ""At higher levels of processing, perception and cognition are closely interrelated, which is the reason why hte words ""understanding"" and ""seeing"" are synonymous"" therefore - visualization has the potential to be more precise and revealing than conventional statistical computations.What   Dashboards "" typically capture and visualize traces of learning activities, in order to promote awarenss, reflection and sense-making, and to enable learners to difine goals and track progress towards these goals."" What we can track changes as possibilities and capabilities expand. What can be incorporated into a dashboard: 1. artefacts produced by learners 2. social interaction 3. resource use (consultation, slides etc) 4. time spent 5. test and self-assessment results   How to get started Understand your Goals. 1. why? what is the goal of the visualization? What questions about the data should it answer? 2. For whom? For whom is the visualization intended? Are the people involved specialists in the domain? 3. What? What data will it display? 4. How? how will it support the goal? What is the intended output? Aquiring Data: 1. Raw data: know where the data comes from and when it's updated. 2. Analyzing raw data: may need to clean up the data if some is missing or erroneous. Outliers? clusters? 3. Prepare and filter data: use the initial questions and choose the relevant data from the pool.   Mapping Design: choose a design that best answers the questions you want the users to be able to answer. one way to start: Look at the measurement or scale of each data characteristic. Differentiate objects. sketch it out before making the high quality prototype Note: pie charts - usually bad. bar charts - usually quite powerful. coordinated graphs enable rich exploration.   Documentation: Be explicit about: 1. rationale - why were certain decisions made? What was the intent? 2. alternatives - which alternatives were considered? 3. Evolution: how the design evolved in different iterations. add interactive techniques Common tasks include: 1. comparing values and patterns 2. sorting 3. filtering 4. highligint data to make specific values stand out 5. clustering/grouping. 6. annotating findings 7. bookmarking/reporting specfic view on the data Evaluation continusously  ",8,3,5,1
"834","Junk Charts Trifecta Checkup: The Definitive Guide - Junk Charts","When viewing or planning a graphic, ask: 1. What is the question? 2. What does the data say? 3. What does the visual say? Ideally, the answer to all is the same. Data should be relevant to the question being asked. Visual should be clear and concise and answer the question directly. Type Q: Chart is fine, but fails because of poorly defined objective (Question). Type D: well posed questions an good graph. Issue is with the data. Type V: Data good, question good. Graph bad - too confusing. DOULBES: Type QD: graphical representation is good, but poor data quality and unclear. Type QV: data collection and processing is good, but question has not been clearly defined. Type DV: Data fails to be convincing of the question being posed. Execution of graphical elements is also poor. TRIPLES: Type QDV: All three things are poor. Poor question, poor data and poor visual.  ",10,13,-3,2
"835","HLA: Chapter 4: Ethics and Learning Analytics: Charting the (Un)Charted","Ethics and LA - now that more and more data is available and access to this data is more available, it is extremely important that we understand the roles, responsibilities and affect that this can have on students and their lives. Having access to so much information is potentially dangerous if it falls in the wrong hands or even in the hands of someone that does not fully understand the implications and responsibility of such knowledge. Through all of the current technological advances an increasing concerns about tech surveillance, the use of personal data, analysis and the role that algorithms play, a growing need for guidelines and ethics around gathering, reporting and using this surveillance responsibly has risen. The future of learning will be digital. It's already headed in this direction. This means data-driven results, data-driven decision making hopefully ultimately supporting someone in having a better quality of life. It's important to ask key questions: 1. WHO is the data for? 2. WHAT is the purpose of the data?3. HOW does one share the data? There are ethical concerns around how student data is collected, analyzed an used. It could be used to push a certain viewpoint in education. It should be used in an unbiased way. Slade and Prisloo (2013) - 3 broad overlapping, ethical categories: 1. The location and interpretation of the data. 2. Informed consent (an recurring theme in other such lists) and de-identification of data. 3. The management, classification and storage of the data. Slade and Prislooo - framework based on 6 principles: 1. LA as a moral practice - what is morally appropriate? 2. students as agents - collaborators in their own learning 3. student identity and performance as temporal dynamic constructs (LA is just a snapshot at a particular time and place). 4. student success is complex an mutli-dimensional 5. transparency** 6. Higher education cannot afford NOT to use data. QUESTION: How do we define success??   Educational triage - directing support to those that need it the most. Educational intervention. What can we do? Now with this data, we CAN do something in a meaningful direction.  But there are ethical concerns around doing educational surveillance without the student actually knowing we are doing this. Is this ok? Transparency is of utmost importance. Algorithmic output should be subject to human review and corrected, if needed. Algorithms should be frequently reviewed and validated. Student voices about data that is collected on them (unaware) is shaping policy dealing with the ethics of LA. How can we address student vulnerability? By empowering students to actively participate in learning analytics, moving from quantified data to qualifying self-evaluatoin. LA contributes: 1. QA and quality improvement 2. boosting retention rates 3. assessing acting upon differential outcomes 4. development and introduction of adaptive learning Students should not be wholly defined by their visible data or our interpretation of that data.  We should use that data only as intended or we run the risk of potential abuse/misuse and discrimination. Students rights: 1. easy access to info. 2. right to correct wrong info. 3. right to remove irrelevant info.",12,10,2,2
"836","HLA: Chapter 1: Thoery and Learning Analytics","Learning Analytics. What's so new about this? A huge shift in thinking. It's not just about analyzing data, it's about purposeful analysis to support in education reform. Now there is big data - and the tool to use to analyze this data is very important to craft purposfully, keeping the end goal in mind. Educators and learners are the key stakeholders who stand to benefit (along with students of course) and can now have access to data that previously was not accessible to them. For those in the analytic loop, people will change and react to the observation and explicit feedback.   Data-intensive revolution is about to happen (happening??) in education. There is evidence based decision making happening, but do those making the decisions really understand the data or do they just trust the person analyzing the data and giving them suggestions?   Algogriithmically-based. Now there seems to be a responsibility to deliver computational intelligence to the masses. A LA tool, when created, seems to stem from a particluar educational worldview and is designed to nurture a particular kind of learner. Triad: epistemology, assessment and pedagogy LA is a new form of assessment analytics and has the potential to support current educational practices or to reshape them as needed. Data-driven education reform is extremely valuable. LA has the potential to: 1. marginalize educators and learners through transforming education into a technocratic system. 2. limit what we talk about as learning to only what we can create analytics for. This is a huge shift in how we converse about education. 3. exclude alternative ways of engaging in activities, to the detriment of learners. Note: algorithms may mask or ignore some key elements of the learning process, this is why you would need a human to interpret the data and make meaning out of it.  ",7,2,5,2
"837","Big Data in Education","VIDEO 1: Clustering - tries to find data points that ""group"" together.  Large # of data points want to find what structure there is among the data points dont know anything prior about the structure  k-means clustering algorithm  fits the data points into different clusters.  How?  decide how many clusters pick ""cetnroids"" - usually chosen randomly to start, then we find better centroids classify each point as to which centroid it's closest to re-fit the cetnroids as the center of each cluster ""convergence"" - repeat the process until the centroids stop moving Note that there may be outliers A lot depends on initial positioning and # of clusters  VIDEO 2: K-means - how to choose K and which set of clusters to use? Distortion - (mean square deviation)  Take each point P Find the centroid of P's cluster C Find the distance D from C to P Square D to get D' Sum all D' to get distortion Find Euclidean distance (distance formula) Works for choosing radnomized restarts, but not for choosing cluster size because more clusters leads to smaller distortion. Distance to the nearest cluster center should be smaller w/more clusters  Corss-validation can't solve this problem. More clusters will cover the space more thoroughly. So distortion will often be smaller with more clusters. How to choose k? Trial and error.",3,7,-4,1
"838","Machine Beats Experts: Automatic Discovery of Skill Models for Data-Driven Online Course Refinement","When designing an online course - determining the right skills can be difficult. MOOCs often contain broad content usually w/ a semester's worth of material. So with all of that content online, how do we find the right set of learning objectives? They have discovered a method to determine this, but it assumes a pre-defined skills map for formative and embedded assessment. ""Our method carefully exploits correlations between various parts of student performance, as well as in the text of assessment items, to build a superior statistical model that even outperforms human experts. To evaluate our method, we compare our method with existing methods (LFA) and human engineered skill models on three Open Learning Initiative (OLI) courses at Carnegie Mellon University. The results show that  our method outperforms human-engineered skill models, skill models discovered by our method are interpretable, and our method is remarkably faster than existing methods. These results suggest that our method provides a significant contribution to the evidence-based, iterative refinement of online courses with a promising scalability.  ""We found that eEPIPHANY is an efficient, practical, and quick method to automatically discover skill models from online course data without human interaction.  Our empirical study showed that eEPIPHANY always finds skill models that are better than human-crafted skill models used in actual online courses. We also demonstrated that eEPIPHANY-crafted skill models have reasonable interpretability with the added help of the text analysis technique.  Creating effective online courses often requires intensive, iterative system engineering. Studying techniques for automatic skill model refinement and its application for evidence-based course refinement therefore is a critical research agenda for the successful future of online education.  """,21,3,18,5
